smiles,wxid,subset,reagent_id
CSc1nccc(N)n1,AF0155,AF,AF0155_AF
CC(C)(C)OC(=O)N1CCC(n2cc(N)cn2)CC1,AF0157,AF,AF0157_AF
COC(=O)c1cc(N)ccn1,AF0158,AF,AF0158_AF
CC(C)c1cc(N)on1,AF0160,AF,AF0160_AF
CCOC(=O)c1c(C)n[nH]c1N,AF0163,AF,AF0163_AF
CNc1ncccc1N,AF0164,AF,AF0164_AF
Cc1nc(N)nc(C)c1Br,AF0166,AF,AF0166_AF
Nc1nc(Br)ccc1O,AF0167,AF,AF0167_AF
Cc1nc(N)cnc1Br,AF0168,AF,AF0168_AF
Nc1nccc2cc(Br)ccc12,AF0169,AF,AF0169_AF
Nc1ncc2ccccc2n1,AF0170,AF,AF0170_AF
CCOC(=O)c1c(-c2ccccc2)csc1N,AF0171,AF,AF0171_AF
Cc1cn[nH]c1N,AF0173,AF,AF0173_AF
Nc1ncnc2sccc12,AF0174,AF,AF0174_AF
NC(=O)c1nc(Cl)ccc1N,AF0175,AF,AF0175_AF
CN1CCN(c2ccc(N)nc2)CC1,AF0179,AF,AF0179_AF
Cn1nc(C(F)(F)F)cc1N,AF0184,AF,AF0184_AF
Nc1c(Br)cncc1Br,AF0185,AF,AF0185_AF
Nc1nc2cccc(Cl)c2s1,AF0186,AF,AF0186_AF
CCOC(=O)c1nc(N)sc1C,AF0188,AF,AF0188_AF
Cn1c(N)nc2ccccc21,AF0191,AF,AF0191_AF
Nc1ncc(Br)cc1O,AF0192,AF,AF0192_AF
CC(C)(C)OC(=O)N1CCN(c2ccc(N)nc2)CC1,AF0195,AF,AF0195_AF
Nc1ncnc2n[nH]cc12,AF0196,AF,AF0196_AF
Cn1nccc1N,AF0198,AF,AF0198_AF
CC(C)(C)n1nc(C2CCC2)cc1N,AF0199,AF,AF0199_AF
COC(=O)c1sc(SC)nc1N,AF0200,AF,AF0200_AF
CC(C)(C)n1ncc(C#N)c1N,AF0201,AF,AF0201_AF
COC(=O)c1cnc(N)cn1,AF0202,AF,AF0202_AF
Nc1ccnc(Cl)c1I,AF0203,AF,AF0203_AF
Nc1nc2ccccc2[nH]1,AF0204,AF,AF0204_AF
Cc1ccc2sc(N)nc2c1,AF0205,AF,AF0205_AF
Nc1nc2c(s1)CCC2,AF0208,AF,AF0208_AF
COC(=O)c1ccc(N)s1,AF0209,AF,AF0209_AF
Nc1cc(Cl)ncc1[N+](=O)[O-],AF0211,AF,AF0211_AF
CCCc1cc(N)on1,AF0212,AF,AF0212_AF
Nc1cc(-c2ccccc2)no1,AF0213,AF,AF0213_AF
CC(C)(C)c1cc(N)n(-c2ccccc2)n1,AF0214,AF,AF0214_AF
COc1nc(N)cc(Cl)n1,AF0215,AF,AF0215_AF
Nc1ccc(-c2ccccc2)cn1,AF0217,AF,AF0217_AF
